,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,37.0,38.0,36.0,24.0,51.0,52.0,13.0,30.0,30.0,29.0,31.0,,71.0,24.0,18.0,48.0,35.0,49.0,17.0,42.0,35.0,27.0,29.0,43.0,8.0,35.0,28.0,45.0,45.0,41.0,,55.0,43.0,24.0,25.0,45.0,36.0,33.0,33.0,40.0,42.0,28.0,31.0,,54.0,46.0,51.0,58.0,,28.0,29.0,36.0,43.0,27.0,22.0,33.0,36.0,31.0,36.0,42.0,29.0,42.0,30.0,14.0,26.0,34.0,38.0,31.0,43.0,30.0,42.0,49.0,46.0,45.0,,42.0,24.0,41.0,43.0,29.0,27.0,49.0,23.0,42.0,24.0,44.0,30.0,39.0,44.0,34.0,26.0,42.0,43.0,32.0,44.0,29.0
1,17.0,43.0,34.0,36.0,34.0,46.0,17.0,44.0,45.0,42.0,37.0,51.0,46.0,25.0,13.0,35.0,30.0,19.0,42.0,32.0,22.0,30.0,21.0,47.0,45.0,44.0,25.0,26.0,61.0,27.0,,57.0,46.0,28.0,9.0,44.0,30.0,39.0,47.0,45.0,16.0,36.0,25.0,,36.0,24.0,27.0,24.0,36.0,53.0,22.0,38.0,29.0,36.0,36.0,39.0,26.0,38.0,44.0,48.0,35.0,46.0,19.0,50.0,43.0,24.0,34.0,,17.0,34.0,23.0,66.0,42.0,23.0,42.0,18.0,22.0,22.0,45.0,39.0,8.0,24.0,,22.0,,12.0,45.0,32.0,41.0,31.0,35.0,26.0,37.0,45.0,37.0,35.0
2,29.0,61.0,43.0,,43.0,32.0,,,48.0,28.0,44.0,44.0,55.0,,38.0,,,68.0,26.0,43.0,23.0,27.0,33.0,39.0,28.0,42.0,55.0,46.0,63.0,,,66.0,62.0,45.0,33.0,,49.0,44.0,59.0,25.0,16.0,36.0,,,36.0,56.0,61.0,75.0,31.0,36.0,52.0,64.0,34.0,41.0,25.0,37.0,45.0,42.0,,61.0,,55.0,,39.0,,37.0,37.0,,26.0,43.0,51.0,65.0,,,28.0,24.0,56.0,35.0,40.0,36.0,28.0,35.0,44.0,,47.0,40.0,34.0,52.0,52.0,,45.0,,36.0,53.0,53.0,42.0
3,52.0,21.0,22.0,32.0,46.0,25.0,22.0,,61.0,49.0,19.0,47.0,43.0,28.0,19.0,,40.0,57.0,41.0,74.0,21.0,,,21.0,22.0,42.0,36.0,40.0,45.0,53.0,,58.0,42.0,39.0,15.0,38.0,44.0,13.0,,,,41.0,33.0,,24.0,,,44.0,65.0,,24.0,,,23.0,32.0,,,20.0,28.0,47.0,40.0,,36.0,25.0,43.0,28.0,35.0,,37.0,24.0,20.0,55.0,28.0,32.0,58.0,40.0,43.0,,32.0,,40.0,18.0,25.0,,32.0,40.0,,30.0,36.0,41.0,43.0,29.0,68.0,8.0,39.0,48.0
4,,42.0,49.0,,39.0,,13.0,42.0,,74.0,55.0,,68.0,23.0,36.0,35.0,36.0,,,41.0,52.0,16.0,26.0,35.0,,34.0,,27.0,,45.0,,41.0,44.0,48.0,35.0,39.0,44.0,37.0,33.0,26.0,43.0,14.0,27.0,,43.0,41.0,12.0,,48.0,37.0,33.0,,,43.0,,68.0,37.0,,,,55.0,67.0,40.0,34.0,43.0,19.0,65.0,18.0,33.0,33.0,,34.0,32.0,38.0,,45.0,33.0,31.0,59.0,66.0,35.0,26.0,24.0,40.0,44.0,34.0,,,,34.0,56.0,41.0,62.0,,35.0,44.0
5,38.0,,31.0,,50.0,58.0,44.0,33.0,34.0,,37.0,,,30.0,44.0,59.0,33.0,60.0,20.0,38.0,60.0,54.0,36.0,,39.0,46.0,60.0,38.0,56.0,31.0,,62.0,48.0,47.0,32.0,,,56.0,70.0,38.0,59.0,13.0,,,54.0,44.0,46.0,47.0,29.0,72.0,31.0,51.0,33.0,40.0,84.0,39.0,28.0,44.0,48.0,41.0,65.0,,,22.0,35.0,43.0,50.0,41.0,,36.0,51.0,56.0,41.0,44.0,53.0,30.0,39.0,59.0,,,,,33.0,44.0,50.0,35.0,46.0,41.0,45.0,62.0,79.0,47.0,,52.0,,
6,40.0,27.0,23.0,,31.0,50.0,29.0,32.0,34.0,49.0,36.0,37.0,70.0,42.0,,19.0,,63.0,35.0,44.0,31.0,18.0,45.0,49.0,23.0,65.0,58.0,28.0,34.0,39.0,,21.0,44.0,39.0,44.0,47.0,48.0,29.0,47.0,43.0,46.0,29.0,41.0,,30.0,27.0,29.0,40.0,38.0,27.0,36.0,34.0,36.0,46.0,40.0,37.0,37.0,45.0,30.0,43.0,42.0,,30.0,43.0,23.0,29.0,43.0,13.0,22.0,29.0,33.0,58.0,46.0,26.0,41.0,48.0,24.0,55.0,42.0,14.0,35.0,41.0,18.0,,27.0,,48.0,56.0,34.0,12.0,28.0,54.0,,40.0,38.0,42.0
7,36.0,30.0,31.0,31.0,33.0,49.0,32.0,29.0,40.0,54.0,23.0,51.0,33.0,20.0,28.0,21.0,41.0,45.0,32.0,47.0,46.0,39.0,33.0,60.0,40.0,14.0,54.0,29.0,33.0,34.0,,55.0,24.0,,26.0,36.0,45.0,21.0,57.0,38.0,44.0,34.0,4.0,,,18.0,27.0,,45.0,52.0,39.0,66.0,44.0,41.0,21.0,41.0,51.0,40.0,27.0,34.0,43.0,48.0,29.0,49.0,26.0,27.0,26.0,40.0,36.0,43.0,50.0,27.0,35.0,39.0,51.0,38.0,33.0,,34.0,44.0,42.0,28.0,27.0,39.0,40.0,9.0,52.0,,36.0,35.0,36.0,28.0,54.0,49.0,52.0,35.0
8,,41.0,29.0,70.0,54.0,26.0,39.0,25.0,39.0,35.0,61.0,43.0,58.0,55.0,34.0,,25.0,41.0,33.0,,33.0,39.0,36.0,21.0,,42.0,,,45.0,67.0,,61.0,33.0,,,12.0,,,17.0,55.0,51.0,40.0,,,,51.0,,41.0,,51.0,,,,26.0,,30.0,29.0,41.0,72.0,,,57.0,,39.0,46.0,,35.0,34.0,,40.0,34.0,38.0,59.0,,50.0,43.0,31.0,,29.0,22.0,57.0,34.0,39.0,44.0,,,33.0,,,40.0,,49.0,26.0,,55.0,22.0
9,35.0,54.0,,,,,28.0,56.0,41.0,,38.0,52.0,77.0,67.0,24.0,35.0,33.0,,49.0,,62.0,53.0,28.0,,49.0,32.0,39.0,55.0,48.0,,,,,,61.0,33.0,,46.0,,49.0,,,48.0,,,37.0,,28.0,,,,71.0,,,32.0,42.0,,,,,29.0,50.0,,25.0,34.0,23.0,36.0,21.0,44.0,,48.0,56.0,,28.0,,28.0,,33.0,,45.0,21.0,39.0,35.0,39.0,,30.0,,46.0,,,46.0,59.0,45.0,,39.0,
