,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,41.0,36.0,40.0,46.0,41.0,59.0,25.0,48.0,46.0,50.0,41.0,48.0,46.0,50.0,35.0,44.0,19.0,57.0,31.0,34.0,38.0,36.0,28.0,51.0,43.0,31.0,48.0,41.0,48.0,41.0,28.0,27.0,36.0,50.0,51.0,38.0,47.0,43.0,35.0,42.0,54.0,,37.0,49.0,32.0,37.0,47.0,47.0
1,42.0,65.0,56.0,40.0,51.0,47.0,33.0,45.0,,39.0,36.0,35.0,55.0,55.0,42.0,40.0,41.0,43.0,36.0,41.0,48.0,53.0,48.0,23.0,41.0,41.0,52.0,53.0,47.0,39.0,37.0,30.0,44.0,34.0,38.0,41.0,46.0,47.0,52.0,29.0,34.0,51.0,45.0,50.0,53.0,52.0,40.0,46.0
2,34.0,37.0,57.0,28.0,45.0,37.0,10.0,51.0,39.0,35.0,39.0,42.0,40.0,52.0,34.0,28.0,38.0,38.0,32.0,38.0,36.0,47.0,40.0,36.0,71.0,31.0,45.0,44.0,49.0,43.0,47.0,44.0,57.0,49.0,46.0,44.0,44.0,52.0,43.0,28.0,32.0,52.0,44.0,50.0,28.0,41.0,53.0,26.0
3,51.0,52.0,35.0,,51.0,42.0,33.0,42.0,50.0,43.0,39.0,39.0,33.0,41.0,42.0,35.0,40.0,42.0,41.0,37.0,38.0,34.0,46.0,52.0,52.0,25.0,36.0,46.0,41.0,30.0,36.0,52.0,42.0,43.0,36.0,52.0,43.0,59.0,52.0,49.0,59.0,42.0,,58.0,56.0,53.0,51.0,37.0
4,53.0,39.0,61.0,53.0,53.0,51.0,10.0,,51.0,51.0,44.0,,61.0,31.0,42.0,46.0,44.0,,,50.0,46.0,59.0,31.0,49.0,,,53.0,39.0,49.0,59.0,56.0,52.0,54.0,53.0,,46.0,,37.0,42.0,,45.0,60.0,,49.0,,50.0,,44.0
5,53.0,42.0,56.0,31.0,40.0,39.0,40.0,44.0,29.0,56.0,45.0,31.0,39.0,41.0,37.0,30.0,27.0,48.0,36.0,36.0,33.0,40.0,44.0,44.0,45.0,35.0,43.0,44.0,41.0,42.0,24.0,40.0,43.0,41.0,39.0,46.0,46.0,41.0,38.0,31.0,48.0,53.0,42.0,48.0,47.0,44.0,48.0,40.0
6,39.0,32.0,62.0,34.0,48.0,39.0,43.0,51.0,42.0,30.0,43.0,37.0,38.0,45.0,43.0,43.0,15.0,48.0,28.0,29.0,42.0,34.0,32.0,42.0,37.0,35.0,42.0,37.0,40.0,38.0,46.0,45.0,27.0,57.0,51.0,51.0,28.0,38.0,,33.0,12.0,51.0,45.0,41.0,60.0,54.0,48.0,36.0
7,60.0,37.0,53.0,47.0,58.0,45.0,50.0,48.0,48.0,59.0,39.0,41.0,49.0,18.0,52.0,44.0,41.0,40.0,44.0,51.0,,63.0,51.0,,23.0,48.0,,51.0,58.0,58.0,,48.0,40.0,,47.0,26.0,42.0,49.0,53.0,31.0,,57.0,41.0,43.0,55.0,,,51.0
8,46.0,45.0,59.0,41.0,30.0,43.0,32.0,21.0,53.0,38.0,51.0,36.0,45.0,40.0,37.0,31.0,46.0,52.0,43.0,28.0,42.0,55.0,,28.0,29.0,41.0,40.0,53.0,42.0,31.0,49.0,51.0,51.0,51.0,41.0,39.0,38.0,44.0,24.0,39.0,42.0,58.0,24.0,57.0,51.0,47.0,51.0,46.0
9,43.0,25.0,56.0,13.0,49.0,40.0,44.0,40.0,54.0,50.0,38.0,49.0,45.0,44.0,39.0,49.0,43.0,26.0,34.0,38.0,55.0,52.0,44.0,39.0,32.0,43.0,37.0,50.0,29.0,46.0,29.0,48.0,39.0,27.0,31.0,26.0,32.0,48.0,41.0,54.0,22.0,56.0,49.0,46.0,33.0,33.0,49.0,
10,29.0,36.0,58.0,32.0,44.0,40.0,51.0,44.0,41.0,50.0,36.0,45.0,35.0,37.0,36.0,47.0,,44.0,39.0,45.0,27.0,37.0,46.0,33.0,42.0,33.0,35.0,54.0,37.0,37.0,33.0,47.0,36.0,57.0,49.0,41.0,29.0,34.0,51.0,41.0,22.0,48.0,58.0,24.0,49.0,51.0,53.0,35.0
11,40.0,40.0,,56.0,46.0,,,35.0,32.0,,56.0,39.0,,58.0,,,29.0,51.0,52.0,40.0,44.0,43.0,46.0,52.0,,,,37.0,48.0,36.0,,55.0,52.0,,,63.0,43.0,,61.0,,,51.0,41.0,59.0,66.0,56.0,40.0,37.0
12,42.0,41.0,61.0,35.0,41.0,45.0,17.0,37.0,42.0,47.0,38.0,54.0,35.0,59.0,44.0,20.0,44.0,54.0,35.0,32.0,36.0,47.0,28.0,40.0,40.0,47.0,45.0,40.0,42.0,46.0,45.0,56.0,44.0,41.0,47.0,53.0,20.0,32.0,43.0,30.0,49.0,52.0,43.0,62.0,31.0,38.0,46.0,47.0
13,34.0,39.0,44.0,50.0,43.0,23.0,45.0,50.0,47.0,,42.0,63.0,40.0,39.0,25.0,19.0,,22.0,38.0,24.0,53.0,35.0,50.0,36.0,44.0,54.0,43.0,47.0,,53.0,43.0,50.0,40.0,52.0,41.0,46.0,46.0,43.0,51.0,43.0,50.0,49.0,53.0,52.0,34.0,,48.0,51.0
14,34.0,40.0,52.0,28.0,32.0,37.0,25.0,46.0,36.0,52.0,41.0,39.0,31.0,21.0,36.0,40.0,35.0,41.0,41.0,49.0,32.0,41.0,39.0,40.0,28.0,33.0,37.0,44.0,45.0,30.0,42.0,43.0,31.0,53.0,33.0,52.0,30.0,49.0,42.0,38.0,40.0,55.0,36.0,41.0,37.0,42.0,39.0,39.0
15,38.0,28.0,60.0,40.0,54.0,30.0,,42.0,48.0,39.0,44.0,33.0,38.0,53.0,39.0,,20.0,43.0,32.0,34.0,38.0,43.0,38.0,46.0,42.0,40.0,33.0,38.0,50.0,42.0,37.0,45.0,32.0,43.0,,55.0,29.0,47.0,30.0,35.0,14.0,50.0,38.0,47.0,60.0,48.0,47.0,37.0
16,39.0,49.0,61.0,51.0,,33.0,41.0,51.0,51.0,,51.0,43.0,,52.0,23.0,46.0,44.0,,46.0,48.0,30.0,42.0,39.0,27.0,47.0,37.0,47.0,62.0,,48.0,60.0,53.0,58.0,54.0,,44.0,28.0,50.0,47.0,43.0,55.0,67.0,56.0,53.0,48.0,51.0,43.0,41.0
17,46.0,39.0,62.0,50.0,41.0,54.0,26.0,48.0,46.0,35.0,40.0,45.0,31.0,50.0,38.0,24.0,39.0,45.0,48.0,38.0,47.0,35.0,28.0,33.0,47.0,24.0,38.0,53.0,46.0,59.0,33.0,43.0,49.0,34.0,34.0,53.0,36.0,46.0,52.0,39.0,52.0,47.0,45.0,46.0,34.0,42.0,43.0,35.0
18,46.0,36.0,49.0,64.0,51.0,54.0,41.0,42.0,54.0,53.0,46.0,56.0,41.0,,30.0,37.0,40.0,53.0,51.0,53.0,37.0,48.0,44.0,22.0,32.0,46.0,44.0,50.0,25.0,41.0,37.0,48.0,46.0,48.0,43.0,52.0,49.0,54.0,58.0,44.0,47.0,36.0,17.0,47.0,44.0,57.0,18.0,56.0
19,72.0,41.0,66.0,,,,45.0,39.0,,54.0,,59.0,53.0,60.0,67.0,36.0,34.0,,,,,54.0,46.0,56.0,43.0,,48.0,62.0,,,48.0,52.0,87.0,,,61.0,37.0,55.0,56.0,,55.0,61.0,,,,,,
20,,,,,,,,43.0,,,42.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,48.0,,39.0,,30.0,51.0
21,31.0,32.0,46.0,48.0,34.0,49.0,43.0,43.0,51.0,46.0,42.0,46.0,38.0,48.0,24.0,29.0,50.0,37.0,35.0,42.0,30.0,55.0,51.0,29.0,47.0,37.0,32.0,42.0,48.0,14.0,42.0,45.0,38.0,40.0,48.0,53.0,55.0,36.0,45.0,40.0,48.0,54.0,45.0,48.0,39.0,39.0,33.0,31.0
22,38.0,46.0,43.0,41.0,38.0,48.0,32.0,29.0,36.0,51.0,30.0,49.0,41.0,55.0,43.0,32.0,35.0,37.0,42.0,38.0,33.0,36.0,37.0,43.0,,43.0,40.0,30.0,35.0,36.0,38.0,34.0,55.0,44.0,36.0,40.0,28.0,43.0,49.0,29.0,46.0,54.0,49.0,39.0,46.0,45.0,40.0,42.0
