,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,51.0,40.0,38.0,44.0,49.0,23.0,44.0,36.0,,76.0,31.0,35.0,47.0,52.0,48.0,,47.0,,36.0,39.0,33.0,51.0,33.0,37.0,36.0,47.0,37.0,24.0,20.0,44.0,39.0,52.0,53.0,46.0,42.0,46.0,41.0,24.0,41.0,35.0,42.0,53.0,,,51.0,53.0,37.0,50.0
1,65.0,36.0,49.0,32.0,50.0,46.0,,39.0,42.0,61.0,44.0,53.0,41.0,46.0,47.0,57.0,46.0,39.0,32.0,24.0,42.0,54.0,60.0,52.0,49.0,28.0,46.0,29.0,44.0,51.0,61.0,31.0,69.0,41.0,43.0,47.0,42.0,53.0,40.0,56.0,47.0,49.0,32.0,25.0,32.0,60.0,45.0,48.0
2,36.0,47.0,51.0,32.0,42.0,55.0,36.0,43.0,44.0,56.0,43.0,45.0,60.0,42.0,43.0,44.0,48.0,48.0,41.0,51.0,36.0,56.0,30.0,34.0,37.0,46.0,27.0,29.0,35.0,52.0,52.0,52.0,49.0,39.0,46.0,60.0,36.0,36.0,75.0,50.0,46.0,49.0,50.0,34.0,40.0,54.0,46.0,37.0
3,55.0,48.0,50.0,40.0,43.0,40.0,55.0,42.0,39.0,56.0,49.0,46.0,55.0,53.0,55.0,50.0,57.0,34.0,41.0,46.0,42.0,34.0,39.0,47.0,,46.0,35.0,23.0,44.0,32.0,34.0,39.0,70.0,47.0,31.0,54.0,26.0,66.0,62.0,42.0,48.0,56.0,42.0,36.0,52.0,70.0,41.0,
4,,31.0,,,,,49.0,49.0,31.0,64.0,49.0,,46.0,56.0,,,48.0,36.0,41.0,56.0,25.0,,36.0,50.0,34.0,31.0,50.0,,64.0,25.0,50.0,,56.0,56.0,58.0,,30.0,20.0,,56.0,52.0,22.0,32.0,51.0,62.0,83.0,,
5,51.0,44.0,39.0,33.0,53.0,45.0,18.0,44.0,47.0,50.0,48.0,48.0,43.0,45.0,59.0,47.0,54.0,41.0,36.0,48.0,38.0,53.0,50.0,75.0,55.0,17.0,36.0,,28.0,49.0,39.0,44.0,58.0,33.0,45.0,38.0,42.0,48.0,35.0,45.0,36.0,38.0,38.0,49.0,46.0,57.0,42.0,42.0
6,49.0,46.0,40.0,28.0,39.0,55.0,31.0,39.0,40.0,63.0,47.0,29.0,34.0,47.0,47.0,47.0,50.0,40.0,42.0,45.0,56.0,38.0,38.0,53.0,42.0,52.0,39.0,56.0,51.0,40.0,42.0,38.0,61.0,42.0,47.0,30.0,27.0,43.0,51.0,44.0,50.0,38.0,36.0,51.0,32.0,66.0,33.0,46.0
7,51.0,64.0,22.0,49.0,43.0,38.0,33.0,53.0,47.0,63.0,50.0,57.0,65.0,48.0,42.0,46.0,51.0,,40.0,52.0,59.0,66.0,50.0,40.0,48.0,39.0,47.0,45.0,,61.0,65.0,53.0,68.0,59.0,48.0,,37.0,50.0,,70.0,64.0,,56.0,,43.0,65.0,25.0,39.0
8,73.0,30.0,41.0,43.0,47.0,5.0,42.0,47.0,37.0,63.0,32.0,45.0,50.0,39.0,52.0,56.0,39.0,9.0,44.0,90.0,30.0,47.0,43.0,63.0,47.0,43.0,48.0,33.0,49.0,43.0,59.0,41.0,64.0,35.0,,39.0,39.0,30.0,36.0,44.0,28.0,52.0,28.0,33.0,53.0,55.0,47.0,48.0
9,53.0,54.0,55.0,30.0,54.0,53.0,44.0,31.0,39.0,48.0,48.0,48.0,42.0,39.0,48.0,40.0,33.0,32.0,36.0,40.0,33.0,48.0,30.0,45.0,41.0,49.0,45.0,42.0,45.0,42.0,45.0,28.0,68.0,22.0,45.0,50.0,40.0,31.0,48.0,52.0,44.0,43.0,30.0,43.0,36.0,63.0,43.0,62.0
10,31.0,45.0,51.0,38.0,48.0,42.0,41.0,43.0,14.0,72.0,47.0,44.0,49.0,37.0,56.0,50.0,46.0,46.0,23.0,49.0,42.0,47.0,62.0,48.0,39.0,58.0,43.0,43.0,48.0,16.0,48.0,36.0,14.0,29.0,42.0,25.0,29.0,37.0,33.0,38.0,39.0,33.0,36.0,43.0,26.0,61.0,48.0,27.0
11,71.0,35.0,37.0,38.0,,,51.0,,52.0,67.0,45.0,,65.0,32.0,,,,67.0,39.0,42.0,39.0,,54.0,37.0,63.0,,,,,,71.0,49.0,49.0,44.0,50.0,,34.0,,,51.0,29.0,44.0,,54.0,50.0,67.0,38.0,
12,40.0,29.0,42.0,38.0,33.0,43.0,46.0,52.0,42.0,42.0,38.0,35.0,44.0,43.0,35.0,43.0,50.0,30.0,38.0,39.0,47.0,36.0,36.0,38.0,40.0,25.0,38.0,25.0,35.0,21.0,47.0,38.0,65.0,42.0,27.0,42.0,42.0,37.0,40.0,32.0,42.0,41.0,46.0,28.0,44.0,71.0,32.0,41.0
13,38.0,33.0,47.0,46.0,55.0,47.0,55.0,42.0,29.0,52.0,34.0,44.0,,42.0,47.0,,55.0,39.0,39.0,,37.0,53.0,50.0,58.0,,41.0,45.0,45.0,45.0,54.0,59.0,45.0,70.0,50.0,38.0,55.0,43.0,42.0,35.0,51.0,49.0,60.0,51.0,46.0,32.0,62.0,45.0,42.0
14,59.0,56.0,40.0,,29.0,52.0,54.0,41.0,50.0,62.0,33.0,35.0,29.0,36.0,51.0,43.0,20.0,49.0,28.0,38.0,49.0,35.0,29.0,49.0,30.0,33.0,37.0,38.0,37.0,46.0,38.0,36.0,50.0,42.0,47.0,35.0,35.0,42.0,46.0,48.0,45.0,45.0,39.0,,47.0,56.0,30.0,43.0
15,68.0,44.0,35.0,23.0,40.0,57.0,40.0,49.0,44.0,63.0,54.0,22.0,30.0,42.0,46.0,42.0,44.0,35.0,35.0,46.0,60.0,46.0,42.0,44.0,39.0,31.0,29.0,42.0,44.0,38.0,44.0,43.0,57.0,47.0,43.0,21.0,31.0,39.0,46.0,44.0,47.0,42.0,29.0,44.0,29.0,60.0,37.0,36.0
16,59.0,42.0,50.0,43.0,48.0,41.0,33.0,50.0,37.0,63.0,61.0,54.0,49.0,38.0,63.0,54.0,,,,42.0,43.0,33.0,,67.0,63.0,39.0,,37.0,37.0,50.0,64.0,,67.0,47.0,52.0,56.0,39.0,35.0,60.0,49.0,49.0,54.0,49.0,,40.0,64.0,49.0,47.0
17,51.0,35.0,,40.0,50.0,52.0,41.0,42.0,43.0,48.0,44.0,50.0,48.0,58.0,49.0,45.0,43.0,38.0,52.0,45.0,21.0,40.0,42.0,52.0,41.0,28.0,41.0,30.0,41.0,52.0,53.0,48.0,64.0,27.0,50.0,47.0,35.0,46.0,43.0,48.0,42.0,45.0,46.0,42.0,50.0,55.0,37.0,51.0
18,44.0,71.0,42.0,46.0,60.0,49.0,,47.0,44.0,53.0,50.0,57.0,69.0,48.0,53.0,52.0,47.0,38.0,37.0,22.0,42.0,45.0,33.0,62.0,55.0,32.0,34.0,39.0,58.0,52.0,14.0,34.0,57.0,47.0,47.0,52.0,37.0,44.0,22.0,53.0,,53.0,45.0,44.0,64.0,74.0,48.0,58.0
19,,45.0,,40.0,47.0,42.0,,,,68.0,49.0,34.0,76.0,50.0,,,,,,52.0,43.0,53.0,,,43.0,,,31.0,53.0,57.0,80.0,52.0,58.0,55.0,,,,,53.0,,35.0,,45.0,47.0,,57.0,,63.0
20,58.0,39.0,,,,37.0,,,,,,,,,38.0,,53.0,,,,,51.0,,,,,,58.0,,,50.0,,63.0,,,,36.0,,,,,,37.0,,,,,
21,45.0,21.0,31.0,30.0,38.0,45.0,37.0,17.0,53.0,37.0,40.0,40.0,34.0,44.0,55.0,49.0,47.0,49.0,41.0,25.0,45.0,39.0,40.0,58.0,46.0,38.0,40.0,,48.0,44.0,58.0,38.0,49.0,54.0,41.0,37.0,36.0,41.0,44.0,33.0,39.0,45.0,44.0,45.0,56.0,47.0,53.0,52.0
22,40.0,20.0,51.0,33.0,55.0,43.0,30.0,45.0,40.0,54.0,38.0,35.0,28.0,41.0,28.0,45.0,47.0,41.0,41.0,37.0,24.0,43.0,35.0,26.0,53.0,26.0,40.0,34.0,22.0,36.0,49.0,41.0,56.0,43.0,18.0,43.0,41.0,45.0,28.0,45.0,44.0,44.0,58.0,35.0,51.0,44.0,42.0,50.0
